,user,text,favorite_count,retweet_count,created_at
180,elonmusk,"@ShellenbergerMD @wef @Davos There should be a game show: “4Chan or Davos, who said it?”",40346,4006,2023-01-16 17:44:47+00:00
181,elonmusk,@stillgray Do you actually know where your money is going?,84890,5004,2023-01-16 05:11:57+00:00
182,elonmusk,Kudos to the BBC for self-labelling its state affiliation,152082,12047,2023-01-16 05:06:21+00:00
183,elonmusk,"@WallStreetSilv @nytimes @MSNBC @facebook @washingtonpost Technically, Twitter should have that label",20665,1178,2023-01-16 05:01:37+00:00
184,elonmusk,@budan_m 🔥,9334,202,2023-01-16 04:59:45+00:00
185,elonmusk,"@JohnRWoodJr @alexandrosM Sam has changed a lot, but I suppose so have we all",2387,134,2023-01-16 04:57:28+00:00
186,elonmusk,@engineers_feed Nuclear is way safer than coal,79796,5527,2023-01-16 03:32:52+00:00
187,elonmusk,@dogeofficialceo 🤣🔥,15052,492,2023-01-16 03:07:12+00:00
188,elonmusk,@Kristennetten @la_lkm @tmrohan Is this happening a lot?,2194,110,2023-01-16 03:00:49+00:00
189,elonmusk,@mtaibbi Taibbi ftw,25192,1645,2023-01-16 02:59:17+00:00
190,elonmusk,@tmrohan Not for long,26784,932,2023-01-16 02:52:20+00:00
191,elonmusk,@BillFOXLA Does seem seriously off the rails,12938,794,2023-01-16 02:46:23+00:00
